Agencia_ID,Semana,TotalSales
1110,3,1296738.8100
1110,4,1385112.3100
1110,5,1345680.1500
1110,6,1239051.4100
1110,7,1297071.9100
1110,8,1345696.3100
1110,9,1365323.1200
1111,3,3635718.8800
1111,4,3688412.4000
1111,5,3525689.2800
1111,6,3176933.2200
1111,7,3280021.2000
1111,8,3375127.6800
1111,9,3388689.0600
1112,3,2463866.4000
1112,4,2547617.6100
1112,5,2445389.6300
1112,6,2242384.6900
1112,7,2233004.2400
1112,8,2322885.7500
1112,9,2336540.1100
1113,3,1865916.6200
1113,4,1888237.9200
1113,5,1723241.6200
1113,6,1478242.8500
1113,7,1655042.3900
1113,8,1696829.6300
1113,9,1786973.2800
1114,3,8647054.5500
1114,4,9371576.6400
1114,5,8770567.2600
1114,6,9038337.7200
1114,7,8877271.8400
1114,8,9075450.6900
1114,9,8640061.1000
1116,3,4300696.6800
1116,4,4433437.6700
1116,5,2962624.4300
1116,6,3737320.9700
1116,7,3837852.9300
1116,8,4060590.5000
1116,9,4121834.4500
1117,3,4172797.5700
1117,4,4108735.4000
1117,5,3831584.1900
1117,6,3704920.3700
1117,7,3620750.9800
1117,8,3708381.4000
1117,9,3772150.2000
1118,3,3546284.7900
1118,4,3620114.2700
1118,5,3447685.1500
1118,6,3275328.2300
1118,7,3358213.3500
1118,8,3419184.7600
1118,9,3388867.9500
1119,3,3335031.7400
1119,4,3309047.3300
1119,5,3095471.8200
1119,6,3035069.9500
1119,7,3082835.9600
1119,8,3087447.0400
1119,9,3072440.2400
1120,3,3831826.4200
1120,4,3876226.6100
1120,5,3647296.3000
1120,6,3426691.8200
1120,7,3435009.1400
1120,8,3490217.8600
1120,9,3550780.5100
1121,3,4386154.2500
1121,4,4641019.7200
1121,5,4438764.9800
1121,6,4079259.8000
1121,7,4048446.2300
1121,8,4129502.4300
1121,9,4175142.6500
1122,3,3955363.7300
1122,4,4138439.1100
1122,5,3879377.6500
1122,6,3764792.4900
1122,7,3876541.0100
1122,8,3794512.3700
1122,9,3713558.3000
1123,3,4366111.8300
1123,4,4341218.6400
1123,5,4190474.6300
1123,6,3860423.2300
1123,7,3995352.4600
1123,8,4049102.7900
1123,9,3975267.5800
1124,3,2914285.6700
1124,4,3603570.1900
1124,5,1092634.2700
1124,6,3092975.4700
1124,7,3283843.8800
1124,8,3482276.2900
1124,9,3403290.1200
1126,3,4776229.0400
1126,4,4640106.7100
1126,5,4183116.0800
1126,6,4143088.8300
1126,7,4289713.8500
1126,8,4495532.7200
1126,9,4419541.3500
1127,3,2939575.0500
1127,4,2916921.1200
1127,5,2755633.5600
1127,6,1914797.5200
1127,7,2497140.1000
1127,8,2759446.3700
1127,9,2665532.1300
1129,3,9493177.9600
1129,4,9766771.2600
1129,5,9361548.7300
1129,6,9488264.6200
1129,7,9337743.5200
1129,8,9493525.9500
1129,9,9222753.8200
1130,3,3256015.2700
1130,4,3209996.9200
1130,5,3022326.1900
1130,6,2857983.1900
1130,7,2794423.7100
1130,8,2684701.3800
1130,9,2756985.2900
1137,3,3249289.4600
1137,4,3266878.6300
1137,5,3129758.9700
1137,6,2909731.8800
1137,7,2934033.2100
1137,8,3072868.3400
1137,9,2473019.5500
1138,3,3023343.5800
1138,4,3156697.7400
1138,5,2980851.2200
1138,6,2807503.0800
1138,7,2779838.2600
1138,8,2968304.0600
1138,9,3010387.0100
1139,3,1000772.3800
1139,4,971198.5100
1139,5,943509.2400
1139,6,878270.4900
1139,7,948120.2400
1139,8,944484.6500
1139,9,902077.0400
1140,3,3009348.2300
1140,4,1090582.2700
1140,5,1570305.7000
1140,6,2245283.8300
1140,7,2555935.2200
1140,8,2761195.4300
1140,9,2687677.0600
1142,3,8726968.2400
1142,4,9277706.1100
1142,5,8807571.1100
1142,6,9257140.4200
1142,7,8883074.5900
1142,8,8681310.0800
1142,9,8435796.4200
1143,3,786763.6700
1143,4,899157.4800
1143,5,946555.9700
1143,6,875434.1900
1143,7,1060793.5800
1143,8,1084599.4500
1143,9,1065984.8200
1146,3,864456.0400
1146,4,852187.9500
1146,5,801344.6900
1146,6,746024.8100
1146,7,712980.8600
1146,8,715906.0200
1146,9,765287.8500
1147,3,541059.6600
1147,4,542168.4600
1147,5,515621.6800
1147,6,512634.6700
1147,7,500676.7400
1147,8,527492.0900
1147,9,528160.6100
1150,3,1861418.4100
1150,4,1892385.0600
1150,5,1893672.9000
1150,6,1611527.2100
1150,7,1556121.2800
1150,8,1663240.5600
1150,9,1722975.1400
1152,3,1188611.5600
1152,4,1208687.1000
1152,5,1167507.8900
1152,6,943562.8300
1152,7,982661.3000
1152,8,1037428.9000
1152,9,1032907.8600
1153,3,3240445.5100
1153,4,3215824.4800
1153,5,2969598.8100
1153,6,161215.6700
1153,7,2190156.5600
1153,8,2824500.7900
1153,9,2910839.3100
1155,3,356182.5100
1155,4,351096.0500
1155,5,403088.4200
1155,6,309324.5500
1155,7,281852.8900
1155,8,306604.7300
1155,9,315304.6900
1156,3,180630.2900
1156,4,156523.0900
1156,5,137520.8400
1156,6,127616.4300
1156,7,160124.9100
1156,8,151524.8200
1156,9,162735.7200
1159,3,567713.7900
1159,4,600683.9600
1159,5,551004.2600
1159,6,569691.5200
1159,7,572323.2600
1159,8,591455.0800
1159,9,602621.2500
1160,3,1069182.7200
1160,4,337585.4400
1160,5,1461108.9600
1160,6,1033023.8400
1160,7,836184.5600
1160,8,996731.4400
1160,9,893487.3600
1164,3,453899.7400
1164,4,484688.2700
1164,5,479274.7900
1164,6,464645.6100
1164,7,467567.5700
1164,8,511620.6600
1164,9,506633.4400
1165,3,660384.4300
1165,4,697652.9200
1165,5,660124.9400
1165,6,640395.7400
1165,7,663766.3700
1165,8,705441.3600
1165,9,727483.8700
1167,3,1183147.8200
1167,4,901096.3200
1167,5,1232311.8100
1167,6,1312262.7400
1167,7,1228995.7400
1167,8,659653.7500
1167,9,886968.2400
1168,3,6345930.4100
1168,4,6899822.4500
1168,5,6579466.9800
1168,6,7001076.1400
1168,7,6729780.1500
1168,8,6703580.9300
1168,9,6480133.5600
1170,3,303968.2800
1170,4,339491.3000
1170,5,355731.8300
1170,6,298414.3300
1170,7,291741.0000
1170,8,312015.3300
1170,9,326937.9100
1171,3,162068.1600
1171,4,168002.1100
1171,5,148692.7600
1171,6,151027.5400
1171,7,143857.8500
1171,8,158572.6900
1171,9,170042.9500
1172,3,201364.5400
1172,4,231223.7400
1172,5,225153.3800
1172,6,180193.9400
1172,7,191131.6300
1172,8,180744.0700
1172,9,186378.1400
1173,3,391702.7400
1173,4,386665.2300
1173,5,357917.6500
1173,6,367274.7100
1173,7,329344.8400
1173,8,383437.2100
1173,9,371151.7000
1176,3,423316.3900
1176,4,450746.4400
1176,5,422669.0000
1176,6,440292.4900
1176,7,409937.9500
1176,8,404152.7900
1176,9,430095.6800
1177,3,393807.9500
1177,4,417058.6800
1177,5,375459.3500
1177,6,380750.2000
1177,7,385939.5500
1177,8,433149.6200
1177,9,446642.0500
1210,3,1075065.9800
1210,4,1142445.7800
1210,5,1084343.0800
1210,6,1045077.8900
1210,7,1064281.8900
1210,8,1102447.9000
1210,9,1183960.9000
1211,3,1755006.0300
1211,4,1858770.9300
1211,5,1833747.1400
1211,6,1748462.9000
1211,7,1784101.5400
1211,8,1820023.2300
1211,9,1812822.4400
1212,3,2574942.5600
1212,4,2614289.6300
1212,5,2510896.5400
1212,6,2280971.9100
1212,7,2228174.0000
1212,8,2361538.5800
1212,9,2370210.8300
1213,3,2651688.8700
1213,4,2624118.9900
1213,5,2363454.2900
1213,6,2296871.3000
1213,7,2199385.1800
1213,8,2350435.1400
1213,9,2398764.8900
1215,3,2626374.4700
1215,4,2644329.5700
1215,5,2472097.6000
1215,6,2202920.3100
1215,7,2229014.0100
1215,8,2463539.8300
1215,9,2385315.8900
1216,3,1879971.9000
1216,4,1936063.0500
1216,5,1850983.3800
1216,6,1592712.5700
1216,7,1486133.4800
1216,8,1658950.9400
1216,9,1706538.3100
1217,3,2685534.8600
1217,4,2738725.0500
1217,5,336369.4800
1217,6,2001584.0600
1217,7,2125483.5500
1217,8,2233122.5600
1217,9,2287461.0900
1218,3,2027335.6600
1218,4,2072142.2600
1218,5,1540542.2700
1218,6,1734923.1500
1218,7,1858541.4100
1218,8,1905091.4300
1218,9,1921770.6600
1219,3,3933108.4700
1219,4,3875205.2900
1219,5,3710973.9200
1219,6,2727222.6700
1219,7,3291972.2300
1219,8,3487936.2200
1219,9,3512454.1700
1220,3,4160809.6700
1220,4,4164617.1100
1220,5,3941824.1100
1220,6,3670490.2300
1220,7,3499258.8700
1220,8,3651859.1800
1220,9,3688210.2700
1221,3,1253919.9700
1221,4,1194664.7300
1221,5,1120693.9100
1221,6,840166.1100
1221,7,1053993.5200
1221,8,1076210.2700
1221,9,1104688.5600
1222,3,3868987.1200
1222,4,3844988.3500
1222,5,3608201.7600
1222,6,3168676.4100
1222,7,3261466.8600
1222,8,3460330.4000
1222,9,3568733.8400
1223,3,2994507.0800
1223,4,648013.8700
1223,5,2867364.7800
1223,6,2823634.2600
1223,7,3054704.8500
1223,8,3141523.8700
1223,9,3002160.7900
1224,3,1673542.9100
1224,4,1760936.7100
1224,5,1787735.7100
1224,6,1442545.8400
1224,7,1452201.1400
1224,8,1581904.9200
1224,9,1603425.5300
1227,3,2530694.1100
1227,4,2667458.7700
1227,5,2616985.9800
1227,6,2387565.5100
1227,7,2444048.0400
1227,8,2493463.8900
1227,9,2458533.3700
1228,3,1146596.1900
1228,4,1104691.7900
1228,5,1106393.3300
1228,6,983806.0900
1228,7,1132272.7200
1228,8,1153372.1200
1228,9,1195479.9800
1229,3,710999.5400
1229,4,772781.5100
1229,5,744096.8700
1229,6,667473.4200
1229,7,739990.3200
1229,8,748733.5700
1229,9,787428.7900
1232,3,3253210.8700
1232,4,3326023.5400
1232,5,3285105.5100
1232,6,3026830.5800
1232,7,3227068.4700
1232,8,3362118.5000
1232,9,3311344.6600
1235,3,1779945.6900
1235,4,1820037.4400
1235,5,1748254.5000
1235,6,1664696.0200
1235,7,1811431.0000
1235,8,1712455.4700
1235,9,1639542.2100
1236,3,2258170.2500
1236,4,2197799.8600
1236,5,2291806.2200
1236,6,2041569.9100
1236,7,2133000.6000
1236,8,2148544.2000
1236,9,2077140.5000
1237,3,2110819.4400
1237,4,2132117.9700
1237,5,1997329.8700
1237,6,1849238.9400
1237,7,1955046.6800
1237,8,1934835.1400
1237,9,1794969.5500
1238,3,1009988.4200
1238,4,965359.4800
1238,5,944546.3600
1238,6,896712.0800
1238,7,859262.9400
1238,8,865681.4400
1238,9,868140.2700
1239,3,1584903.6500
1239,4,1593354.3300
1239,5,1550693.9100
1239,6,1547075.5900
1239,7,1490298.5300
1239,8,1505034.7800
1239,9,1541818.7900
1242,3,534813.8600
1242,4,509546.6500
1242,5,495886.5700
1242,6,487975.2200
1242,7,485025.1900
1242,8,473420.7800
1242,9,488798.8900
1243,3,1331769.5000
1243,4,1391651.1900
1243,5,1287240.4400
1243,6,1153616.1400
1243,7,1208848.9800
1243,8,1265070.0700
1243,9,1273840.8400
1245,3,2535784.3000
1245,4,2456593.7800
1245,5,2430335.2200
1245,6,2269368.5300
1245,7,2385917.6800
1245,8,2254329.2700
1245,9,2282927.4500
1250,3,842838.0300
1250,4,810748.1200
1250,5,792126.9200
1250,6,741545.8300
1250,7,763557.9100
1250,8,799098.5200
1250,9,789933.8900
1252,3,850796.9100
1252,4,891364.5400
1252,5,909322.3400
1252,6,749878.1400
1252,7,899292.5700
1252,8,935667.8900
1252,9,942046.1800
1253,3,1259780.9900
1253,4,1193079.3300
1253,5,1235890.1200
1253,6,1093912.4700
1253,7,1320495.5500
1253,8,1292347.3300
1253,9,1350127.1100
1255,3,1722942.8000
1255,4,1701097.9100
1255,5,1718858.5100
1255,6,1517035.9600
1255,7,1739619.4000
1255,8,1825955.3100
1255,9,1832116.8700
1259,3,2080485.2500
1259,4,2222040.8200
1259,5,2117457.7200
1259,6,1989281.4400
1259,7,2178131.0000
1259,8,2266345.3600
1259,9,2280744.3800
1261,3,866716.5900
1261,4,803240.8400
1261,5,802226.6200
1261,6,688678.4700
1261,7,700649.4100
1261,8,695106.0300
1261,9,761654.4900
1262,3,143734.1100
1262,4,134995.0400
1262,5,170760.0500
1262,6,127899.8600
1262,7,124578.6100
1262,8,132701.0200
1262,9,137875.4500
1273,3,430347.6700
1273,4,406420.1900
1273,5,413365.4100
1273,6,406507.3100
1273,7,413847.9000
1273,8,414244.6900
1273,9,464873.1600
1275,3,734289.7800
1275,4,745500.4800
1275,5,779558.8100
1275,6,660134.2900
1275,7,646613.7600
1275,8,693819.2700
1275,9,714317.0100
1276,3,1375039.0500
1276,4,1316848.7900
1276,5,1311000.9200
1276,6,1190638.2800
1276,7,1298440.7900
1276,8,1371706.7500
1276,9,1383494.2500
1279,3,2622560.8500
1279,4,2666868.7200
1279,5,2501365.1900
1279,6,2511688.4200
1279,7,2764091.3200
1279,8,2881767.7100
1279,9,2716028.6700
1281,3,531254.8300
1281,4,548242.8700
1281,5,508452.7300
1281,6,474023.1800
1281,7,532079.7500
1281,8,554477.3300
1281,9,588874.1400
1310,3,3448789.5000
1310,4,3483658.4000
1310,5,3202466.9400
1310,6,3136010.5800
1310,7,3187337.2000
1310,8,3088220.4100
1310,9,3410494.9900
1311,3,3429372.6800
1311,4,3488007.5900
1311,5,3488398.3000
1311,6,3412317.8700
1311,7,3515528.1400
1311,8,3482891.7500
1311,9,3292184.9700
1312,3,4541939.7900
1312,4,4841532.0600
1312,5,4463998.9100
1312,6,3715282.2200
1312,7,4750108.3800
1312,8,4691058.4400
1312,9,4406763.4800
1313,3,536847.5500
1313,4,523331.1600
1313,5,574731.6000
1313,6,562434.1400
1313,7,602741.8500
1313,8,614245.1100
1313,9,633607.1000
1314,3,2097759.4500
1314,4,2065525.4500
1314,5,1913700.6400
1314,6,1879013.1400
1314,7,2098912.9600
1314,8,447437.3800
1314,9,1846840.3800
1315,3,4133144.4300
1315,4,4322231.8300
1315,5,4270759.1200
1315,6,3558031.2100
1315,7,3329858.5400
1315,8,3541258.0700
1315,9,3888719.5700
1330,3,1709709.3700
1330,4,1845610.8800
1330,5,1868543.6300
1330,6,1708643.3200
1330,7,1764500.9400
1330,8,1727528.2900
1330,9,1595801.9100
1331,3,1868311.7900
1331,4,1829945.1300
1331,5,1761705.9700
1331,6,1761724.5500
1331,7,1841447.9200
1331,8,1850408.0900
1331,9,1865573.2300
1332,3,2446937.2500
1332,4,2498893.6400
1332,5,2368429.3500
1332,6,2221329.1500
1332,7,2393454.4400
1332,8,2341154.3000
1332,9,2277317.6400
1333,3,2669695.1600
1333,4,2571255.3300
1333,5,2517867.2200
1333,6,2455046.9300
1333,7,2607069.1900
1333,8,2590014.5500
1333,9,2553199.4800
1334,3,2616447.2400
1334,4,2742566.5800
1334,5,2617098.4000
1334,6,2536796.5600
1334,7,2565221.2200
1334,8,2564053.0500
1334,9,2533896.4800
1335,3,2080323.3300
1335,4,2082251.7400
1335,5,1948698.5100
1335,6,1952916.4400
1335,7,2074784.5100
1335,8,2036410.4700
1335,9,2061883.1300
1336,3,2569148.8100
1336,4,2594412.1000
1336,5,2495722.8600
1336,6,2386993.0000
1336,7,2533426.3000
1336,8,2429770.7800
1336,9,2328555.7500
1337,3,1490448.7800
1337,4,1491177.8800
1337,5,1446775.9200
1337,6,1375516.2400
1337,7,1399502.4600
1337,8,1476740.6600
1337,9,1440381.8800
1338,3,2405554.4400
1338,4,2635576.3600
1338,5,2623496.7900
1338,6,2411680.0700
1338,7,2458173.1000
1338,8,2384577.3900
1338,9,2270302.6600
1339,3,1607789.9900
1339,4,1648200.5500
1339,5,1554758.9500
1339,6,1484052.5000
1339,7,1605444.8600
1339,8,1606344.2100
1339,9,1553175.6000
1340,3,3243235.1400
1340,4,3226133.8400
1340,5,2931531.9400
1340,6,2700454.8700
1340,7,3309733.2100
1340,8,3098131.4900
1340,9,2961356.3900
1341,3,616303.5800
1341,4,600123.6300
1341,5,591191.5300
1341,6,573285.3000
1341,7,616335.7500
1341,8,644483.4000
1341,9,638092.2200
1342,3,1168071.7800
1342,4,1156788.7400
1342,5,1119522.7400
1342,6,1066219.1300
1342,7,1046917.3500
1342,8,1041181.0500
1342,9,860308.9100
1344,3,2232786.7900
1344,4,2203642.7000
1344,5,2077047.8400
1344,6,1860948.8500
1344,7,1613569.1900
1344,8,1170236.2300
1344,9,1901636.7600
1345,3,551214.6100
1345,4,618439.1400
1345,5,643574.0200
1345,6,502315.7000
1345,7,591818.7800
1345,8,524793.5900
1345,9,308153.0900
1346,3,1826349.4600
1346,4,1808567.9700
1346,5,1370750.0200
1346,6,1072737.9800
1346,7,1547555.9600
1346,8,1622775.5300
1346,9,1553757.4500
1347,3,3842278.2700
1347,4,4013507.4200
1347,5,3883906.6000
1347,6,3566583.1700
1347,7,3780085.0900
1347,8,3721045.3700
1347,9,3607775.8300
1348,3,1181713.1500
1348,4,1145667.4800
1348,5,1142133.5300
1348,6,1125133.4600
1348,7,1090063.7200
1348,8,1067628.6100
1348,9,1080551.5500
1349,3,1438088.9800
1349,4,1374075.1700
1349,5,1294137.2100
1349,6,1357320.0700
1349,7,1348025.6900
1349,8,1268164.0200
1349,9,1159164.3500
1350,3,1513488.2600
1350,4,1443470.3100
1350,5,1342296.7200
1350,6,1286282.4200
1350,7,1292470.4500
1350,8,1331264.9000
1350,9,1115152.1400
1351,3,4797543.2100
1351,4,4591832.4100
1351,5,4456939.0700
1351,6,4235389.6500
1351,7,4345446.2100
1351,8,4343675.2800
1351,9,4140191.2200
1353,3,3024647.5800
1353,4,3312860.7500
1353,5,2882276.6100
1353,6,3012330.9400
1353,7,3257632.2700
1353,8,3095894.7300
1353,9,3168954.9600
1354,3,1905908.3100
1354,4,1918228.7200
1354,5,1888868.1000
1354,6,2003859.2800
1354,7,2047879.1600
1354,8,1948555.8800
1354,9,1840503.1800
1355,3,1302469.1300
1355,4,1560123.0400
1355,5,1458090.2000
1355,6,1647608.6100
1355,7,1628944.2500
1355,8,1584860.9400
1355,9,1551160.2000
1356,3,1482881.9100
1356,4,1602885.7500
1356,5,1477173.7000
1356,6,1472621.8600
1356,7,1537923.7200
1356,8,1515857.5700
1356,9,1489198.5500
1357,3,503174.5600
1357,4,574512.4800
1357,5,475025.1200
1357,6,491751.1900
1357,7,496195.6300
1357,8,507273.0100
1357,9,532441.0300
1358,3,302373.4800
1358,4,319555.2600
1358,5,348257.5800
1358,6,334187.5500
1358,7,339569.9600
1358,8,321777.4200
1358,9,330530.1500
1359,3,1072534.3600
1359,4,1130339.1200
1359,5,1036677.4600
1359,6,1091239.2600
1359,7,1044750.1900
1359,8,1065193.6500
1359,9,1119206.5000
1360,3,984324.7600
1360,4,1082925.4800
1360,5,1033515.8200
1360,6,1180092.9400
1360,7,1079173.2800
1360,8,1094214.3700
1360,9,1107548.2000
1361,3,530417.1500
1361,4,502809.3200
1361,5,476626.6800
1361,6,463805.6200
1361,7,524091.6100
1361,8,498727.6100
1361,9,278020.6400
1363,3,617451.0500
1363,4,688291.5700
1363,5,673737.7800
1363,6,670435.3500
1363,7,609596.3400
1363,8,717311.9600
1363,9,684116.5900
1364,3,245540.3000
1364,4,267352.7900
1364,5,220827.0000
1364,6,221745.9800
1364,7,236964.6600
1364,8,247937.7200
1364,9,235213.4700
1366,3,959983.0100
1366,4,917602.9100
1366,5,899483.2500
1366,6,936261.4400
1366,7,1054262.2000
1366,8,1001105.1500
1366,9,965521.5700
1367,3,505096.5300
1367,4,567693.3300
1367,5,592145.0300
1367,6,506998.8000
1367,7,519001.1700
1367,8,537832.2700
1367,9,546071.0400
1368,3,550459.0900
1368,4,625218.5100
1368,5,544212.3100
1368,6,498885.9200
1368,7,494141.2400
1368,8,511914.8800
1368,9,511808.8400
1371,3,881042.3200
1371,4,908544.2800
1371,5,907003.3300
1371,6,765375.6400
1371,7,719508.3300
1371,8,284094.1300
1371,9,992810.5400
1372,3,182785.9800
1372,4,219679.1500
1372,5,200121.5900
1372,6,218529.8900
1372,7,212280.5000
1372,8,202173.0700
1372,9,204838.7800
1373,3,420970.1600
1373,4,414686.5700
1373,5,404922.7100
1373,6,403952.2600
1373,7,374784.5900
1373,8,407365.6000
1373,9,376300.4100
1374,3,991598.8600
1374,4,996296.1200
1374,5,998597.8800
1374,6,954904.1700
1374,7,919574.2500
1374,8,936359.0000
1374,9,991406.2200
1375,3,1603112.2400
1375,4,1445524.5900
1375,5,1311131.7700
1375,6,1392925.8700
1375,7,1377512.5700
1375,8,1290785.1700
1375,9,1347927.1300
1376,3,126847.0400
1376,4,169955.2100
1376,5,120902.0600
1376,6,125633.6900
1376,7,136398.5100
1376,8,138216.7500
1376,9,144251.5800
1377,3,711566.5000
1377,4,749218.3100
1377,5,680695.6400
1377,6,563292.7500
1377,7,580281.3700
1377,8,479243.5900
1377,9,476555.5800
1378,3,1347148.4000
1378,4,1290872.1500
1378,5,1229879.0100
1378,6,1224349.6900
1378,7,1379223.1600
1378,8,1296964.8200
1378,9,1267973.2800
1379,3,857872.9400
1379,4,562150.3000
1379,5,1388415.2300
1379,6,1028421.6700
1379,7,1415782.7200
1379,8,804536.4600
1379,9,598081.5500
1380,3,2642918.0000
1380,4,3140447.8100
1380,5,2610849.5800
1380,6,3066430.7600
1380,7,3108058.2500
1380,8,3052908.1300
1380,9,2867454.0200
1381,3,506506.3800
1381,4,618548.1500
1381,5,574856.3700
1381,6,494083.1600
1381,7,485626.4300
1381,8,473829.0600
1381,9,550458.4700
1382,3,897451.5200
1382,4,730065.0400
1382,5,308071.1700
1382,6,749518.1000
1382,7,876014.8600
1382,8,858627.2600
1382,9,908948.3000
1383,3,422361.9700
1383,4,444251.8800
1383,5,432717.9000
1383,6,393165.2200
1383,7,367597.5500
1383,8,361119.2400
1383,9,401308.1600
1384,3,1761533.3500
1384,4,1823106.5300
1384,5,1795662.5200
1384,6,1728313.4900
1384,7,1755293.7000
1384,8,1754336.9300
1384,9,1761072.2100
1385,3,752365.0400
1385,4,716009.1900
1385,5,733215.4000
1385,6,721614.7300
1385,7,692562.8500
1385,8,718597.2600
1385,9,731196.9400
1386,3,442277.4400
1386,4,453623.2800
1386,5,459043.3300
1386,6,397392.0900
1386,7,409665.1600
1386,8,414798.7400
1386,9,423306.4700
1387,3,2301270.5400
1387,4,2337159.0300
1387,5,2158738.2800
