Ruta_SAK,Semana,TotalSales
1,3,704009.7500
1,4,770815.5500
1,5,683878.9500
1,6,702835.0600
1,7,719920.8700
1,8,719122.2400
1,9,577295.0100
2,3,328282.6100
2,4,410178.1500
2,5,324278.5800
2,6,302581.3100
2,7,301852.7700
2,8,345602.4300
2,9,327570.9500
3,3,724795.6700
3,4,820733.8400
3,5,754868.5100
3,6,799280.7000
3,7,737701.2700
3,8,658073.3600
3,9,766282.3200
4,3,535748.0200
4,4,504774.2100
4,5,454285.8400
4,6,471019.7900
4,7,529528.8800
4,8,478861.1200
4,9,405404.8400
5,3,178225.6000
5,4,139155.8300
5,5,151760.3200
5,6,155345.9200
5,7,171376.4100
5,8,180510.2900
5,9,167954.2000
6,3,403991.0400
6,4,445192.3100
6,5,439694.5800
6,6,473353.8800
6,7,420536.5800
6,8,374408.0500
6,9,445664.1000
7,3,137399.1900
7,4,136247.6500
7,5,119349.1000
7,6,135522.9000
7,7,127888.3700
7,8,124994.8100
7,9,116169.9100
8,3,650613.7600
8,4,711475.0700
8,5,614160.0100
8,6,682995.2300
8,7,651111.0100
8,8,672680.8000
8,9,613744.0800
9,3,462797.6500
9,4,524017.7500
9,5,509039.8700
9,6,568631.9400
9,7,475473.2100
9,8,450119.1300
9,9,394282.4800
10,3,411245.1400
10,4,417042.8900
10,5,409941.5300
10,6,389059.8900
10,7,403695.2500
10,8,423109.5500
10,9,368122.7400
11,3,235984.6600
11,4,245957.5700
11,5,233961.3400
11,6,236139.7300
11,7,240765.5600
11,8,235605.1800
11,9,228838.4500
12,3,382393.6500
12,4,422667.6400
12,5,380827.5500
12,6,382011.1900
12,7,481659.6800
12,8,424101.4500
12,9,387930.4700
13,3,351795.8200
13,4,377954.3400
13,5,367874.7500
13,6,382825.8900
13,7,350145.3600
13,8,404858.7300
13,9,368164.0800
14,3,422347.5600
14,4,442936.6500
14,5,433717.0400
14,6,460587.4900
14,7,461216.7300
14,8,425383.2300
14,9,425387.0700
15,3,446320.6700
15,4,486657.8700
15,5,525488.4500
15,6,480540.4700
15,7,422448.2400
15,8,420412.5400
15,9,521977.6700
16,3,380228.9600
16,4,442380.3200
16,5,420117.2300
16,6,452101.5300
16,7,456250.5600
16,8,401402.2900
16,9,436346.4100
17,3,204395.7800
17,4,200993.2700
17,5,211747.0300
17,6,199070.5400
17,7,232013.7100
17,8,180333.4300
17,9,205360.7500
18,3,214029.0700
18,4,226931.3500
18,5,199532.7200
18,6,221716.6600
18,7,194722.4500
18,8,235971.8100
18,9,194464.6300
19,3,229394.0200
19,4,236027.6500
19,5,219837.0800
19,6,193087.9100
19,7,233374.4600
19,8,221928.3900
19,9,229312.0100
20,3,225897.3000
20,4,201743.4800
20,5,277136.5200
20,6,232629.6100
20,7,240483.7700
20,8,216560.6700
20,9,220359.6700
21,3,210242.2800
21,4,193480.6300
21,5,195508.4600
21,6,207407.0300
21,7,197324.8600
21,8,201861.3400
21,9,190494.5400
22,3,93969.9600
22,4,103352.9400
22,5,103758.9100
22,6,105426.9200
22,7,104112.3400
22,8,112290.3200
22,9,111749.5800
23,3,172781.7000
23,4,178426.7300
23,5,171068.2300
23,6,182658.3200
23,7,166015.3500
23,8,165258.2800
23,9,165361.9100
24,3,242550.0100
24,4,207646.1900
24,5,243471.9200
24,6,213707.6400
24,7,228574.3500
24,8,189540.1800
24,9,248497.5100
25,3,188572.7500
25,4,160140.5100
25,5,149444.9100
25,6,203176.2300
25,7,167413.2600
25,8,178969.0200
25,9,176054.9800
26,3,260755.2900
26,4,256284.0100
26,5,270617.0400
26,6,267120.9800
26,7,259254.2800
26,8,285664.1500
26,9,258083.5100
27,3,301115.2100
27,4,291336.9200
27,5,270686.0600
27,6,282236.5800
27,7,291194.8600
27,8,297528.4900
27,9,279711.2500
28,3,367843.0000
28,4,396041.2500
28,5,360023.5900
28,6,417994.2700
28,7,374188.2000
28,8,427730.5500
28,9,366871.7200
29,3,250836.7800
29,4,287460.1300
29,5,247122.6400
29,6,248344.7600
29,7,234565.6000
29,8,245361.4400
29,9,230461.4500
30,3,287254.9800
30,4,426497.6600
30,5,346553.5900
30,6,378550.3200
30,7,380251.6100
30,8,385578.7700
30,9,392887.8600
31,3,262971.1000
31,4,238070.0600
31,5,251863.4700
31,6,254608.3300
31,7,236225.8800
31,8,247612.5800
31,9,270424.6600
32,3,287069.3000
32,4,319483.7900
32,5,285541.0100
32,6,284228.9700
32,7,249441.0500
32,8,272052.1900
32,9,258046.7700
33,3,188205.1300
33,4,185939.3900
33,5,203867.0400
33,6,200793.5000
33,7,195237.7900
33,8,205770.4600
33,9,183466.0200
34,3,283088.5600
34,4,270759.2700
34,5,237601.9100
34,6,224311.2000
34,7,254117.7600
34,8,301894.7000
34,9,206767.5400
35,3,267805.9700
35,4,243426.8600
35,5,261601.0000
35,6,243110.7700
35,7,246456.1200
35,8,261273.2100
35,9,218189.3100
36,3,353561.0500
36,4,313551.3900
36,5,332016.9100
36,6,372615.1400
36,7,318578.6700
36,8,426909.5100
36,9,383488.0400
37,3,253499.7500
37,4,277209.7300
37,5,259062.7000
37,6,285618.8500
37,7,252426.8900
37,8,256435.3000
37,9,255442.7200
38,3,559209.1800
38,4,598680.2700
38,5,622093.5300
38,6,657475.2800
38,7,602173.4500
38,8,609102.0100
38,9,562771.0100
39,3,425569.8200
39,4,441764.9600
39,5,394155.6400
39,6,445266.3700
39,7,416325.2500
39,8,404979.0400
39,9,395925.8800
40,3,427772.3300
40,4,440292.4900
40,5,431784.8300
40,6,455616.3900
40,7,471481.0800
40,8,433527.7900
40,9,450909.6000
41,3,425624.2300
41,4,442611.0200
41,5,458694.6800
41,6,460047.4800
41,7,454757.9100
41,8,460161.7400
41,9,447669.1100
42,3,143321.3900
42,4,127967.8400
42,5,132284.6900
42,6,152031.6100
42,7,129930.8000
42,8,133483.1500
42,9,125923.1200
43,3,289249.1000
43,4,358383.7400
43,5,244750.8200
43,6,250695.0000
43,7,286929.1000
43,8,251422.8500
43,9,298387.4500
44,3,67869.9800
44,4,73789.5600
44,5,81926.3900
44,6,82458.0800
44,7,109603.0900
44,8,109942.2800
44,9,69952.7900
45,3,126304.0300
45,4,143407.2000
45,5,126744.5400
45,6,136744.4200
45,7,149932.5900
45,8,158359.7500
45,9,139560.9300
46,3,65899.2700
46,4,89204.6400
46,5,77906.8700
46,6,94174.4800
46,7,80818.1000
46,8,91448.7900
46,9,84564.0400
47,3,169571.6200
47,4,180824.3800
47,5,147114.6400
47,6,172698.7800
47,7,163760.2200
47,8,160690.2900
47,9,167402.9200
48,3,135158.0700
48,4,117819.3500
48,5,133990.5000
48,6,127805.8500
48,7,135422.8700
48,8,114361.2200
48,9,130992.1300
49,3,95169.0100
49,4,92884.7800
49,5,61818.0400
49,6,74667.2200
49,7,63292.6000
49,8,78031.2600
49,9,84780.7200
50,3,50627.9100
50,4,58071.7900
50,5,56329.2000
50,6,56926.3500
50,7,58514.3200
50,8,62128.9400
50,9,56546.0800
51,3,193746.0100
51,4,170497.7200
51,5,159051.1500
51,6,170459.1000
51,7,186862.7700
51,8,192790.0900
51,9,137038.1100
52,3,348614.8100
52,4,390792.3300
52,5,328060.2300
52,6,453386.4400
52,7,349700.8800
52,8,389395.8300
52,9,369548.6500
53,3,194634.6800
53,4,209036.0400
53,5,219904.1600
53,6,193395.5800
53,7,209193.3600
53,8,227931.2900
53,9,199439.0200
54,3,161414.5400
54,4,170573.6800
54,5,167851.1700
54,6,172517.7200
54,7,165468.2500
54,8,180750.1400
54,9,135701.5300
55,3,151206.5500
55,4,154277.7500
55,5,124023.6200
55,6,146261.2200
55,7,136805.1100
55,8,141102.0300
55,9,127028.9300
56,3,176566.5600
56,4,188517.9400
56,5,149554.4300
56,6,161177.3100
56,7,167124.2500
56,8,173008.7600
56,9,152745.9900
57,3,255946.8900
57,4,270085.3500
57,5,270788.0200
57,6,276614.4900
57,7,276973.7000
57,8,276160.8600
57,9,252241.2000
58,3,328659.7700
58,4,318088.0700
58,5,284717.7200
58,6,350492.9200
58,7,325286.1400
58,8,331460.5300
58,9,297299.0200
59,3,283249.0200
59,4,307430.1700
59,5,300443.9300
59,6,294579.2200
59,7,271451.8700
59,8,274411.9500
59,9,300375.5100
60,3,565683.4700
60,4,638472.9200
60,5,591933.5100
60,6,568973.8100
60,7,536764.7000
60,8,554330.2200
60,9,636488.4600
61,3,143096.8700
61,4,172916.3300
61,5,140791.7300
61,6,165527.8000
61,7,158523.0700
61,8,165989.4400
61,9,142868.5800
62,3,505561.2000
62,4,558332.6700
62,5,519036.5300
62,6,555328.4900
62,7,519132.8600
62,8,522907.8400
62,9,476730.2300
63,3,420625.9900
63,4,410841.9100
63,5,404150.2900
63,6,419237.7200
63,7,417785.0500
63,8,419773.4300
63,9,410739.1400
64,3,188899.5200
64,4,173393.3200
64,5,164652.7600
64,6,205647.4300
64,7,180087.9800
64,8,181169.6200
64,9,163892.8100
65,3,384000.4400
65,4,394428.5400
65,5,389739.1900
65,6,394202.9800
65,7,418041.2700
65,8,369517.7300
65,9,307666.1200
66,3,381027.6000
66,4,355083.4300
66,5,370515.3400
66,6,369664.8700
66,7,392150.7400
66,8,368374.3400
66,9,364607.6000
67,3,213228.7800
67,4,215129.1200
67,5,192424.4200
67,6,194122.1800
67,7,194126.0700
67,8,211866.1500
67,9,176198.3200
68,3,321827.0800
68,4,404635.7800
68,5,395733.9300
68,6,358181.1600
68,7,338541.4200
68,8,364891.6100
68,9,366238.3100
69,3,68234.9500
69,4,75474.5600
69,5,80157.7400
69,6,83849.7100
69,7,75778.2700
69,8,83863.0600
69,9,69638.3800
70,3,100960.4900
70,4,106299.8700
70,5,101973.0700
70,6,121475.3400
70,7,108090.5300
70,8,111497.2000
70,9,124416.4600
71,3,86065.7900
71,4,82993.9500
71,5,95478.6500
71,6,90568.9200
71,7,81754.2800
71,8,84886.6400
71,9,86569.9400
72,3,33057.1600
72,4,34756.8700
72,5,34910.2700
72,6,44209.8500
72,7,40187.8400
72,8,40755.3100
72,9,41637.6700
73,3,182457.5300
73,4,165017.5600
73,5,178942.3400
73,6,163579.6100
73,7,175147.8300
73,8,173903.5000
73,9,159375.4400
74,3,86856.4700
74,4,86722.6100
74,5,79567.1300
74,6,84109.0700
74,7,78748.2900
74,8,91828.0300
74,9,76745.1100
75,3,66855.4400
75,4,72187.4800
75,5,54372.8000
75,6,65763.0600
75,7,60969.6000
75,8,61038.3000
75,9,63757.8800
76,3,234208.8300
76,4,231648.0600
76,5,220663.6600
76,6,245192.4500
76,7,214588.5500
76,8,215670.7800
76,9,184164.5100
77,3,239310.9300
77,4,254361.6400
77,5,217060.3200
77,6,250055.4800
77,7,239706.4700
77,8,210917.9800
77,9,196102.0200
78,3,139900.1200
78,4,153563.6100
78,5,134323.0200
78,6,144494.9700
78,7,183389.5700
78,8,164955.1800
78,9,153694.7600
79,3,87660.0600
79,4,100212.2700
79,5,96647.5000
79,6,93456.7000
79,7,85552.9500
79,8,80785.0900
79,9,78091.1400
80,3,209952.8200
80,4,321686.2000
80,5,207038.6600
80,6,285738.8600
80,7,250447.6900
80,8,255416.6900
80,9,265591.2800
81,3,275710.1000
81,4,309893.5600
81,5,297621.7400
81,6,301352.1100
81,7,303691.8500
81,8,363955.6500
81,9,292152.1900
82,3,66460.7800
82,4,80363.9600
82,5,82169.3700
82,6,80506.7800
82,7,65245.6200
82,8,72912.8200
82,9,74777.5700
83,3,304060.8400
83,4,325406.6100
83,5,272577.0600
83,6,351187.9400
83,7,338110.8800
83,8,270817.3300
83,9,283663.7600
84,3,260485.5800
84,4,281385.9000
84,5,258949.6500
84,6,254312.7300
84,7,253371.7200
84,8,265614.7100
84,9,267173.0500
85,3,209391.7400
85,4,201103.1000
85,5,199696.3100
85,6,210995.4600
85,7,219223.6800
85,8,209858.0900
85,9,207415.3500
86,3,201470.6900
86,4,182453.7600
86,5,167891.5900
86,6,183191.5400
86,7,186927.5900
86,8,203760.7800
86,9,183156.2300
87,3,180084.4100
87,4,146876.0700
87,5,155550.8300
87,6,127730.6200
87,7,118117.2900
87,8,115868.7700
87,9,143455.6800
88,3,288783.1600
88,4,278630.9500
88,5,260964.8600
88,6,276309.8600
88,7,305714.4300
88,8,275759.6400
88,9,277563.0300
89,3,228129.9600
89,4,244126.8300
89,5,235736.7000
89,6,242937.1600
89,7,236236.2200
89,8,231036.2800
89,9,225970.5600
90,3,242097.9600
90,4,256727.0200
90,5,294743.2700
90,6,282865.7400
90,7,255207.9900
90,8,264784.8700
90,9,255969.4700
91,3,360911.7100
91,4,378565.4900
91,5,378477.3400
91,6,364944.8500
91,7,362176.0200
91,8,385620.9100
91,9,358605.3200
92,3,221427.3900
92,4,220811.0500
92,5,232195.5100
92,6,251568.7700
92,7,217789.9600
92,8,238071.0500
92,9,230541.4800
93,3,216653.0900
93,4,244807.8800
93,5,236106.8200
93,6,233826.2900
93,7,233080.8200
93,8,224664.0800
93,9,238613.6500
94,3,214799.3500
94,4,245729.3200
94,5,256433.3200
94,6,251031.7200
94,7,235957.8100
94,8,257181.7400
94,9,235131.1000
95,3,214450.9100
95,4,244748.4300
95,5,213232.4200
95,6,223932.2100
95,7,240934.0100
95,8,273264.2800
95,9,229743.4400
96,3,149378.4800
96,4,187839.9200
96,5,158551.4800
96,6,160213.9900
96,7,152104.4200
96,8,171560.6700
96,9,151854.1600
97,3,395459.4800
97,4,441361.9800
97,5,408767.2600
97,6,415179.3600
97,7,404318.9800
97,8,400288.3000
